a	b	nSites	R0	R1	KING
18	21	137	1927828339.431507	0.000000	-2.402629
18	22	512	12.761750	0.029886	-1.080407
18	23	199	9789400.102863	0.000000	-1.743006
18	24	10175	3.228895	0.114098	-0.724280
18	25	529	6.828878	0.081314	-1.694692
18	26	8362	3.280894	0.115653	-0.755094
18	27	7894	3.498178	0.112140	-0.808220
18	28	453	46.413583	0.011797	-2.275709
18	29	9762	3.725412	0.096857	-0.750172
18	30	168	33825.477624	0.000015	-2.009145
18	31	8422	3.355038	0.105759	-0.704909
18	32	324	18.233628	0.029552	-2.014605
18	33	177	25298.175087	0.000013	-0.964018
18	34	39	664.561295	0.000050	-0.068952
18	35	355	41.128322	0.011443	-1.683775
18	36	383	13.329401	0.033003	-1.352555
18	37	550	19.736046	0.021697	-1.356915
18	38	400	50.131328	0.006729	-0.987915
18	39	7395	3.256987	0.109648	-0.701249
18	40	1280	2.314405	0.102084	-0.382727
18	41	7474	2.938349	0.128794	-0.714431
18	42	197	34.247794	0.014842	-1.921501
18	43	7973	3.696629	0.101148	-0.780634
18	44	8455	3.353999	0.104476	-0.694607
18	45	8578	3.089574	0.113087	-0.668006
18	46	8932	1.614417	0.165317	-0.346385
18	47	2004	2.212284	0.127410	-0.448452
18	48	7934	3.457849	0.097018	-0.668474
18	49	7719	2.869913	0.124900	-0.664168
18	50	7552	3.181466	0.119107	-0.743368
18	51	8655	2.524889	0.136723	-0.596506
18	52	8108	2.911735	0.119675	-0.647946
18	53	8446	2.903427	0.122948	-0.664842
18	54	9520	0.936583	0.199794	-0.143883
18	55	6987	3.660803	0.102104	-0.777270
19	20	1798	2.080686	0.136835	-0.437417
19	21	51	5648191.065811	0.000000	-7.776143
19	22	134	50381168.645530	0.000000	-1.778736
19	23	41	181299060468684054069248.000000	0.000000	-80722.548950
19	24	1838	2.712058	0.096352	-0.457670
19	25	130	11609.361935	0.000024	-0.779480
19	26	1880	3.778362	0.072040	-0.541755
19	27	1781	3.620583	0.085941	-0.623159
19	28	172	1.311620	0.346300	-0.453920
19	29	1872	3.344951	0.091004	-0.590017
19	30	69	98674179952000944.000000	0.000000	-2.543388
19	31	1843	5.891478	0.054643	-0.748335
19	32	58	1459858.394543	0.000000	-3.442662
19	33	70	8373176.671166	0.000000	-12.246592
19	34	14	1766064608261330094646099968.000000	0.000000	-119201.409397
19	35	49	31222564928502625965999605517147353837747856972939191599641604804834302488177212635994232036911847279951872.000000	0.000000	-34147.489981
19	36	39	inf	0.000000	-29716.763115
19	37	157	547063.756802	0.000001	-2.445810
19	38	65	10449057.982715	0.000000	-2.008736
19	39	1791	4.160004	0.067759	-0.581038
19	40	660	2.399138	0.146984	-0.593078
19	41	1806	3.147005	0.084625	-0.496165
19	42	46	4315.626342	0.000128	-2.450890
19	43	1777	4.114073	0.077074	-0.665541
19	44	1817	3.586844	0.087899	-0.630620
19	45	1864	4.054515	0.067966	-0.561593
19	46	1929	1.087894	0.165492	-0.169064
19	47	898	0.953986	0.216364	-0.160196
19	48	1832	2.268175	0.137556	-0.505077
19	49	1791	3.574702	0.086288	-0.614058
19	50	1814	3.488203	0.068838	-0.458359
19	51	1886	4.711442	0.059995	-0.603508
19	52	1790	2.196147	0.104013	-0.360192
19	53	1856	2.832215	0.106838	-0.546971
19	54	1997	0.743653	0.165198	-0.066666
19	55	1794	4.155037	0.069673	-0.599300
20	21	144	8870.314578	0.000048	-1.482474
20	22	502	13.789377	0.026876	-1.045619
20	23	192	3462579970.670991	0.000000	-1.747423
20	24	8005	2.941838	0.115711	-0.634210
20	25	541	25536.955027	0.000019	-1.919697
20	26	7012	2.737923	0.117380	-0.575198
20	27	6406	2.568206	0.131874	-0.589669
20	28	438	505669.280290	0.000001	-1.505398
20	29	8391	3.103109	0.111283	-0.660436
20	30	169	160837.668701	0.000003	-1.490636
20	31	7385	2.714265	0.134327	-0.658002
20	32	333	17.268977	0.023902	-1.262305
20	33	205	5.044259	0.075305	-0.887978
20	34	37	7137539428.911982	0.000000	-3.772067
20	35	350	19.263384	0.022534	-1.383988
20	36	377	13.264043	0.031594	-1.252111
20	37	530	18.866342	0.025176	-1.607289
20	38	392	12.156631	0.024475	-0.759344
20	39	6505	3.332305	0.112853	-0.752396
20	40	1303	2.053522	0.107886	-0.337155
20	41	6368	2.549058	0.136167	-0.603121
20	42	204	110790081.794781	0.000000	-1.340987
20	43	6480	3.074941	0.105512	-0.612885
20	44	6743	3.209810	0.104771	-0.650237
20	45	6874	3.032021	0.112585	-0.645091
20	46	7373	1.244050	0.188001	-0.244952
20	47	1936	2.327022	0.115175	-0.437328
20	48	6705	2.794496	0.116009	-0.586412
20	49	6513	2.731705	0.126196	-0.620565
20	50	6357	2.528467	0.119510	-0.517529
20	51	6930	2.639719	0.130126	-0.607432
20	52	6547	2.421309	0.139460	-0.569343
20	53	6712	2.499520	0.124475	-0.530786
